NumCNPJDistribuidora,SigAgente,NomAgente
50105865000190,CEDRI,COOPERATIVA DE ELETRIFICA�ÃO E DISTRIBUI�ÃO DA REGIÃO DE ITARIRI
78829843000192,COOPERZEM,COOPERZEM COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA
88022918000182,COOPERNORTE,COOPERATIVA REGIONAL DE DISTRIBUI�ÃO DE ENERGIA DO LITORAL NORTE - COOPERNORTE
86448057000173,COORSEL,COOPERATIVA REGIONAL SUL DE ELETRIFICA�ÃO RURAL
4172213000151,CPFL- PIRATININGA,COMPANHIA PIRATININGA DE FORÇA E LUZ
15139629000194,COELBA,COMPANHIA DE ELETRICIDADE DO ESTADO DA BAHIA COELBA
25086034000171,ETO,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A.
89435598000155,CRERAL,CRERAL - COOPERATIVA REGIONAL DE ELETRIFICA�ÃO RURAL DO ALTO URUGUAI
97578090000134,MUXENERGIA,MUXFELDT MARIN E CIA LTDA
44560381000139,CERPRO,COOPERATIVA DE ELETRIFICA�ÃO RURAL DA REGIÃO DE PROMISSÃO
75826404000138,CERAL ANITÁPOLIS,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA DE ANITÁPOLIS - CERAL
97505838000179,CERFOX,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA FONTOURA XAVIER
8324196000181,COSERN,COMPANHIA ENERGÉTICA DO RIO GRANDE DO NORTE COSERN
23664303000104,DMED,DME DISTRIBUI�ÃO S.A. - DMED
9364804000144,CERA�Á,CERA�Á - COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARA�Á
57384943000182,CERIS,COOPERATIVA DE ELETRIFICA�ÃO DA REGIÃO DE ITAPECERICA DA SERRA
27485069000109,ELFSM,EMPRESA LUZ E FORÇA SANTA MARIA S/A
7522669000192,CEBDIS,NEOENERGIA DISTRIBUI�ÃO BRASÍLIA S.A.
82574864000181,CEREJ,COOPERATIVA DE PRESTA�ÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR - CEREJ
97839922000129,CERTAJA,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ
61695227000193,ELETROPAULO,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A.
78274610000170,CEPRAG,COOPERATIVA DE ELETRICIDADE PRAIA GRANDE
90660754000160,COPREL,COPREL COOPERATIVA DE ENERGIA
30460297000139,CASTRO - DIS,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA DE CASTRO
86301124000122,EFLJC,EMPRESA FORÇA E LUZ JOÃO CESA LTDA
33050071000158,ENEL RJ,AMPLA ENERGIA E SERVIÇOS S.A.
8826596000195,EBO,ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A
6981180000116,CEMIG-D,CEMIG DISTRIBUI�ÃO S.A
4895728000180,Equatorial PA,EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.
52777034000190,CEMIRIM,COOPERATIVA DE ELETRIFICA�ÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM
27707397000102,CERCI,COOPERATIVA DE ELETRIFICA�ÃO RURAL CACHOEIRAS ITABORAÍ LTDA
86449170000173,CERGRAL,COOPERATIVA DE ELETRICIDADE DE GRAVATAL
28152650000171,EDP ES,EDP ESPÍRITO SANTO DISTRIBUI�ÃO DE ENERGIA S.A.
6272793000184,Equatorial MA,EQUATORIAL MARANHÃO DISTRIBUIDORA DE ENERGIA S.A
10835932000108,CELPE,COMPANHIA ENERGÉTICA DE PERNAMBUCO
8467115000100,CEEE-D,COMPANHIA ESTADUAL DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA - CEEE-D
13107842000199,CERCOS,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA
10532365000110,CERAL ARAPOTI,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ELÉTRICA DE ARAPOTI
2341467000120,AME,Amazonas Energia S.A.
15413826000150,EMS,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.
33249046000106,ENF,ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A.
13255658000196,SULGIPE,COMPANHIA SUL SERGIPANA DE ELETRICIDADE
98042963000152,CERTHIL,COOPERATIVA DE DISTRIBUI�ÃO DE ENERGIA ENTRE RIOS LTDA
