NomSubEstacao,NumCoordESub,NumCoordNSub
SUBESTA�ÃO TERMINAL GRANELEIRO S/A,-5211,-3211
MOM01,-4699,-2244
VALINHOS 1,-4699,-2297
SE CAMPINAS 20 - SAO CONR,-4699,-2286
BRASILIA DE MINAS,-4443,-1622
MATEUS LEME,-4443,-2001
NOVO CRUZEIRO,-4187,-1746
Conceicao de Macabu,-4187,-2208
SAO SEBASTIAO PARAISO,-4698,-2091
PATROCINIO 1,-4698,-1894
BARBALHA,-3930,-732
SANTO CRISTO,-5465,-2783
CAMETÁ,-4953,-226
SE MONTE SANTO,-4697,-2120
MOG,-4697,-2236
IRECE ASA SUL,-4185,-1132
SE RONDONOPOLIS II CENTRO 138 KV,-5464,-1646
SE BUNGE 138 KV,-5464,-1650
AGI01,-4696,-2206
CURVELO 2,-4440,-1874
Imboassica,-4184,-2240
LIVRAMENTO DE BRUMADO,-4184,-1367
IRECE,-4184,-1129
SUBESTA�ÃO DOM FELICIANO,-5207,-3070
JANUARIA 3,-4439,-1549
PARAOPEBA,-4439,-1929
ITABUNA  II,-3927,-1482
SE NOVA BRASILANDIA,-6230,-1173
SE BARRA DO BUGRES 69 KV,-5718,-1504
SE TAPEJARA 2,-5206,-2809
CAMPINA VERDE,-4950,-1953
ARAXA 1,-4694,-1961
MOG02,-4694,-2234
INHUMAS,-4949,-1636
ITG00,-4949,-2371
SAP01,-4693,-2260
SANTO ANTONIO DE JESUS,-3925,-1297
BOM CONSELHO,-3669,-916
SE RONDONOPOLIS I CIDADE 138 KV,-5460,-1647
SANTO ANTONIO DOS LOPES,-4436,-483
ITAPECURU MIRIM,-4436,-340
UTE CNH ALVORADA D OESTE,-6227,-1134
Campo Grande Miguel Couto,-5459,-2047
FOZ DO IGUACU,-5459,-2550
SE BERNARDINO DE CAMPOS,-4947,-2302
CASSIA 1,-4691,-2059
Macae,-4179,-2237
Campo Grande Cuiabl,-5458,-2042
Campo Grande Assis Scaffa,-5458,-2052
SUBESTA�ÃO SÃO LOURENÇO DO SUL,-5202,-3132
SE SAO JOSE DO RIO PARDO,-4690,-2162
SE OURO PRETO,-6225,-1074
ITUIUTABA 1,-4945,-1896
VAZANTE 1,-4689,-1799
UNAI 3,-4689,-1640
BOM JESUS,-4433,-908
ARAPIRACA III,-3665,-979
SÃO MIGUEL ARCANJO,-5456,-2848
PRESIDENTE ALVES 1,-4944,-2210
JUNDIAI 1,-4688,-2319
CORDISBURGO,-4432,-1913
CARAUBAS,-4176,-349
PIRIPIRI,-4176,-428
MARINGA,-5199,-2345
CASCA,-5199,-2857
LIBERDADE,-4431,-2203
PARNAIBA,-4175,-294
CAMPANARIO,-4175,-1830
Iguatemi,-5454,-2367
PORTAL,-5454,-2550
LAJEADO 2 - CEEE,-5198,-2947
PARACATU 1,-4686,-1722
SAO MARCOS,-4430,-249
IGARAPE 2,-4430,-2004
Sao Fidelis,-4174,-2165
MANDACARU,-5197,-2342
CENTRO,-4429,-255
PARNAIBA II,-4173,-294
IPANEMA,-4173,-1980
SE CERTEL 2,-5196,-2944
ESTRELA 2,-5196,-2948
SAO JOSE RIO PRETO 6 NORT,-4940,-2077
IGARAPE 1,-4428,-1997
Cabiunas,-4172,-2230
ANHANDUS,-5451,-2099
SAO JOSE RIO PRETO 3 PRIM,-4939,-2083
ITAPIRA 1,-4683,-2244
ITATIBA 3 COLONIAL,-4683,-2302
SETE LAGOAS 3,-4427,-1951
SAO FRANCISCO,-4427,-250
Italva,-4171,-2136
URUGUAIANA 1 - PROFICAR,-5706,-2978
ARROIO DO MEIO,-5194,-2939
TOMAZ COELHO,-4938,-2555
MARACANA,-4426,-264
HORIZONTE,-5193,-2345
SJB01,-4681,-2198
VILA PALMEIRA,-4425,-255
SAO JOAO DEL REI 1,-4425,-2114
Bom Jesus do Itabapoana,-4169,-2114
ITABEROE,-3913,-1368
JARDIM ALVORADA,-5192,-2341
SAO JOSE RIO PRETO 5 AUST,-4936,-2083
GOYA,-4936,-1666
ITAPAGIPE,-4936,-1990
CHAV. ETERNIT,-4936,-1671
SETE LAGOAS 1,-4424,-1944
JOAO DOURADO,-4168,-1136
TAPEROA,-3912,-1353
SEC PENEDO,-3656,-1024
OLHO DAGUA,-4423,-249
SAO JOAO DEL REI 2,-4423,-2108
SANTA ROSA,-5446,-2788
FORQUILHA,-4422,-256
BRUMADINHO,-4422,-2015
TURU,-4422,-252
SAO FELIPE,-3910,-1284
ENCANTADO,-5189,-2923
GUAPORÉ,-5189,-2884
PINHAL 1,-4677,-2219
SETE LAGOAS 2,-4421,-1947
BRUMADO,-4165,-1421
TREMEMBE,-3909,-1423
SANTA ROSA 2,-5444,-2786
CAMPINA DO SIQUEIRA,-4932,-2544
ITAU DE MINAS,-4676,-2074
SANTA TEREZINHA,-4420,-256
SETD SAUDADE,-4420,-2253
CARGIL-CLIENTE,-3908,-1474
JARDIM TROPICAL,-5187,-2343
SE TAPIRATIBA,-4675,-2147
BETIM 5,-4419,-1999
PORTO SEGURO,-3907,-1643
CAMPINAS,-4930,-1667
CIDADE OPERARIA,-4418,-261
CARRANCA,-4418,-1341
MIRABELA,-4418,-1625
Cardoso Moreira,-4162,-2149
MACURURE,-3906,-917
VALENCA,-3906,-1336
TAQUARI,-5185,-2981
MERCES,-4929,-2542
ATLANTICO,-4929,-1673
BETIM 3,-4417,-1992
ESMERALDAS,-4417,-1968
FAZENDA IGUACU,-4928,-2563
AEROPORTO,-4928,-1668
BATEL,-4928,-2545
SETD FONTINELE,-4416,-2255
MAIOBAO,-4416,-255
ARACAGY,-4416,-248
CIMENTO DO BRASIL-CLIENTE,-4160,-1420
MARAU,-3904,-1421
COROA VERMELHA,-3904,-1638
SANANDUVA,-5183,-2794
CONCEI�ÃO DO ARAGUAIA,-4927,-827
IBIRA_1_VILA VENTURA,-4926,-2099
FERROVIARIO,-4926,-1666
GUAXUPÉ 2,-4670,-2129
BETIM 2,-4414,-1996
COCAL DA ESTA�ÃO,-4158,-346
SECCIONADORA GARANHUNS,-3646,-885
SE CERTEL 1,-5181,-2945
BACACHERI,-4925,-2540
PARACATU 2,-4669,-1745
CONTAGEM 5,-4413,-1986
GOIANIA LESTE,-4924,-1668
ITUMBIARA NOVA,-4924,-1842
ANHANGUERA,-4924,-1679
SETD RETIRO,-4412,-2250
MURITIBA,-3900,-1262
MOURA II,-3644,-833
SUBESTA�ÃO CTJ2,-5179,-2971
PARAÍ,-5179,-2859
MATOZINHOS,-4411,-1956
TEOFILANDIA,-3899,-1149
SANTA HELENA,-5434,-2487
GIRUÁ,-5434,-2803
NEROPOLIS,-4922,-1640
NEVES 1,-4410,-1982
SE MACHADINHO D OESTE,-6201,-944
PAIM FILHO,-5177,-2772
IBIRITE 2,-4409,-2001
SETD VOLTA REDONDA,-4409,-2251
SE NOVA MUTUM PARANA ELN,-6456,-929
HORIZONTINA,-5432,-2764
ATUBA,-4920,-2538
BETIM 4,-4408,-1996
TEOFILO OTONI 1,-4152,-1787
SE ALTA FLORESTA,-6199,-1194
SE PRIMAVERA DO LESTE 138 KV,-5431,-1557
AFONSO PENA,-4919,-2554
ARAPORA,-4919,-1844
CINCO,-4407,-1993
JANGADA,-4407,-2009
MACHADO MINEIRO,-4151,-1552
FEIRA DE SANTANA  II,-3895,-1223
RIACHAO,-4662,-737
CTEEP CACONDE,-4662,-2157
SE JI PARANA I,-6197,-1086
SANTO ÂNGELO 2,-5429,-2830
MUCUGE,-4149,-1315
PIRELLI-CLIENTE,-3893,-1229
NEVES 3,-4404,-1983
MORROS,-4404,-285
PEDRO LEOPOLDO 3,-4404,-1960
PICOS,-4148,-708
CONSELHEIRO PENA,-4148,-1918
DER. CENTRO INDUSTRIAL DE FEIRA,-3892,-1229
JATAI,-5171,-1788
ATI03,-4659,-2321
PASSOS 1,-4659,-2070
JACUTINGA,-4659,-2229
CONTAGEM 3,-4403,-1990
CIDADE INDUSTRIAL,-4403,-1996
SANTA MONICA,-3891,-1226
CIDADE NOVA (MARABA),-4914,-538
ANDRADAS 2,-4658,-2209
DIANOPOLIS - CELTINS,-4658,-1125
ATALAIA,-4402,-1994
JATOBA,-4402,-2000
PEDRO SEGUNDO,-4146,-442
TRÊS DE MAIO,-5425,-2777
BEN - BIOENERGIA,-3633,-992
SANTO ÂNGELO 1,-5424,-2830
IVAIPORA,-5168,-2422
URUACU,-4912,-1452
IBIA 2,-4656,-1951
NEVES 2,-4400,-1979
SE JI PARANA III,-6191,-1090
GOIANESIA,-4911,-1534
CONFINS 1,-4399,-1964
PARAIBANO,-4399,-644
SE PRESIDENTE MEDICI,-6190,-1116
SE GURUPI I,-4910,-1175
GOIANÉSIA,-4910,-382
BH BONSUCESSO,-4398,-1998
BH ADELAIDE,-4398,-1990
BATURITE,-3886,-435
LAJEDO,-3630,-867
SE PONTES E LACERDA 138 KV,-5933,-1525
PATOS DE MINAS 1,-4653,-1859
UNAI 5,-4653,-1612
BARROSO 3,-4397,-2116
BH CALAFATE,-4397,-1993
SE ITAI II,-4908,-2341
MUZAMBINHO 2,-4652,-2138
GUTIERREZ,-4396,-1994
FARO,-5675,-217
ITAQUIRAi,-5419,-2348
JUP01,-5163,-2078
BAURU 4 ESTORIL,-4907,-2235
BAURU 1,-4907,-2229
LAGOA GRANDE,-4651,-1779
MANGA 1,-4395,-1477
BARRO PRETO,-4395,-1992
PAMPULHA,-4395,-1983
NOVA LIMA 7,-4395,-1998
NOVA GRANJA,-4394,-1970
NOVA LIMA 4,-4394,-2016
SION,-4394,-1995
MARACANA,-4394,-1987
PORTO,-3882,-355
PORTO II,-3882,-355
SE ALTO ALEGRE,-6185,-1213
SÃO PEDRO DO SUL,-5417,-2960
Deod polis,-5417,-2229
NOVA PRATA 2,-5161,-2881
SUBESTA�ÃO CHARQUEADAS 2,-5161,-2996
CENTRO 2,-4393,-1993
IBICOARA-CHESF,-4137,-1345
BH-HORTO,-4392,-1990
SANTA LUZIA 2,-4392,-1978
Mombaca,-4136,-2173
LENCOIS,-4136,-1248
BAURU 3 HIPODROMO,-4903,-2233
PATOS DE MINAS 2,-4647,-1861
CUMBICA,-4647,-2347
SANTA EFIGENIA,-4391,-1993
BH SAO MARCOS,-4391,-1987
NOVA RESENDE,-4646,-2117
MONTES CLAROS 4,-4390,-1676
SETD VIGARIO,-4390,-2263
BURITICUPU,-4645,-432
CODO,-4389,-446
Distribuidora de Campos,-4133,-2177
SANTA CRUZ DO CAPIBARIBE,-3621,-797
SOCORRO,-5156,-2557
MONTES CLAROS 1,-4388,-1672
SANTA LUZIA 4,-4388,-1981
LAGOA SANTA,-4388,-1963
VERANÓPOLIS,-5155,-2891
NOVA LIMA 1,-4387,-1999
CENTRAL DE MINAS,-4131,-1876
SE ROLIM DE MOURA,-6178,-1171
SE SANTA LUZIA,-6178,-1191
LAGOA FORMOSA 2,-4642,-1881
CI SANTA LUZIA,-4386,-1983
DRA01,-5153,-2146
BOTELHOS,-4641,-2165
JABOTICATUBAS,-4385,-1940
TAILÂNDIA,-4896,-291
SETD SANTA CECILIA,-4384,-2248
SANTA LUZIA 1,-4384,-1976
Goitacazes,-4128,-2183
SUBESTA�ÃO BAGE 2,-5407,-3129
GARIBALDI 2,-5151,-2924
BENTO GONÇALVES 2,-5151,-2918
LAGOA VERMELHA 1,-5151,-2822
JUNDIAI,-4895,-1636
ALPINOPOLIS 2,-4639,-2085
MONTES CLAROS 2,-4383,-1667
PEDRA AZUL,-4127,-1601
BENTO GONÇALVES 1,-5150,-2916
CARLOS BARBOSA,-5150,-2927
ANAPOLIS UNIVERSITARIA,-4894,-1629
FRUTAL 2,-4894,-2005
DAIA - ANAPOLIS,-4894,-1640
BONSUCESSO,-4638,-2345
CONSELHEIRO LAFAIETE 1,-4382,-2066
JOAQUIM MURTINHO,-4382,-2055
SABARA,-4382,-1990
BOCAIUVA,-4382,-1711
RESPLENDOR,-4126,-1933
MARECHAL CANDIDO RONDON,-5405,-2456
SUBESTA�ÃO CTJ1,-5149,-2982
SE AVARE II,-4893,-2306
PRATA 1,-4893,-1930
BARRO ALTO (FURNAS) - FICTICIA,-4893,-1512
MANGA 5,-4381,-1511
SE PETROVINA 138 KV,-5404,-1679
AREALVA 1,-4892,-2202
FRUTAL 1,-4892,-2002
OURO FINO,-4636,-2228
CARANDAI 3,-4380,-2095
ITABIRITO 1,-4379,-2026
SAO JOAO DO SOTER,-4379,-510
MONTENEGRO 1,-5146,-2967
OLIMPIA 1 JARDIM PAULISTA,-4890,-2073
SANTANA,-4890,-1633
BARBACENA 1,-4378,-2121
"SE CANGAS 34,5 KV",-5657,-1608
CRISTO REI,-5145,-2358
SANTA RITA DE CALDAS,-4633,-2203
Saturnino Braga,-4121,-2189
SEC SAO MIGUEL,-3609,-977
SÃO MIGUEL DOS CAMPOS,-3609,-977
ABAETETUBA,-4888,-173
ITE,-4888,-2400
SANTOS 6 VILA NOVA,-4632,-2394
MACUCO,-4631,-2395
CARMO DO PARANAIBA 2,-4631,-1898
BARBACENA 2,-4375,-2119
GUAIUBA,-3863,-402
TANGARA,-5142,-2338
TRANSPETRO-CLIENTE,-3861,-1273
IBITINGA 1,-4884,-2175
VIC,-4628,-2393
SETD SEROPÉDICA,-4372,-2270
Caeta,-4116,-2171
TEXTIL BEZERRA DE MENEZES II,-3860,-385
SE TAPURAH 138 KV,-5651,-1275
ROLANDIA,-5139,-2331
SERRA BRANCA,-4115,-925
TERRA SANTA,-5650,-211
RIO PARANAIBA,-4626,-1937
SAO JOAO DOS PATOS,-4370,-650
Baixa Grande,-4114,-2194
Valao Seco,-4114,-2139
BONSUCESSO,-3858,-379
PICI I,-3858,-375
IJUÍ 1,-5393,-2841
TRÊS PASSOS,-5393,-2744
MOJÚ,-4881,-209
ITAPOLIS 1,-4881,-2160
MANGA 3,-4369,-1535
CERILUZ,-5392,-2830
BOM PRINCÍPIO,-5136,-2950
FARROUPILHA 2,-5136,-2920
SE PARANAITA 138 KV,-5647,-967
PARACATU 5,-4623,-1701
FRANCISCO SA,-4367,-1635
VERTENTES,-3599,-791
SETD CENTENÁRIO,-4366,-2240
MONDUBIM,-3854,-383
CARUARU,-3598,-830
SUBESTA�ÃO GUAÍBA 1,-5133,-3013
SAO JOAO DO CARU,-4621,-351
GUA02,-4621,-2397
RIBEIRA DO POMBAL,-3853,-1085
FARROUPILHA 1,-5132,-2922
PEDERNEIRAS 1,-4876,-2237
PRATA 2,-4876,-1908
Santa Clara,-4108,-2152
SE DIAMANTINO 138 KV,-5643,-1443
CONCEICAO APARECIDA,-4619,-2110
JABOTI,-3851,-391
FELIZ,-5130,-2945
SE:SÃO DOMINGOS DO ARAGUAIA,-4874,-552
CAMPOS ALTOS,-4618,-1969
JOAO PINHEIRO 1,-4618,-1774
Farol,-4106,-2204
SE BORBOREMA,-3594,-723
ALTO FELIZ,-5129,-2938
VILA DO CONDE,-4873,-158
BARIRI 1,-4873,-2208
GRAJAU,-4617,-583
DIAMANTINA 1,-4361,-1823
IGUATEMI,-3849,-376
SANTA MARIA 4 - BR 158,-5384,-2970
ANTONIO PRADO,-5128,-2884
AREADO 2,-4616,-2137
BORDA DA MATA,-4616,-2228
SETD MARAPICU,-4360,-2282
SE_QUEIMADAS,-3592,-737
CANDEAL,-3847,-1298
"SE - CAMPINA GRANDE II - 69/13,8",-3591,-727
TUPANCIRETÃ,-5382,-2909
PAC01,-5126,-2155
TUPACIGUARA 2,-4870,-1861
CARMO DO RIO CLARO,-4614,-2097
PARIPE,-3846,-1284
SE BELA VISTA - 69/13.8 KV,-3590,-722
SANTA MARIA 5 - UGLIONE,-5381,-2971
SETD CACHAMORRA,-4357,-2292
FRANCISCO SA 2,-4357,-1619
Buena,-4101,-2141
SE AEREO CLUBE,-3589,-726
MARCO BALDO,-5380,-2756
CAMPO NOVO,-5380,-2768
LONDRINA,-5124,-2328
SUBESTA�ÃO MENINO DEUS,-5124,-3007
USINA H. DE POÇO FUNDO,-4612,-2179
SETD QUEIMADOS,-4356,-2274
MANTENA,-4100,-1877
CENTRO ADMINISTRATIVO DA BAHIA,-3844,-1295
SE CATOLE  - 69/13.8 KV,-3588,-725
SE CACOAL,-6147,-1144
SANTA MARIA 1 - CEEE,-5379,-2966
SANTO AUGUSTO,-5379,-2786
PIRANGI 1,-4867,-2110
SETD SANTA CLARA,-4355,-2272
SETD SANTISSIMO,-4355,-2287
IMBUI,-3843,-1297
SE CAMPINA GRANDE I - 69/13.8 KV,-3587,-723
SE NOBRES 138 KV,-5634,-1474
ARINOS,-4610,-1592
PARATEI,-4610,-2332
CAMPINHO,-3842,-887
PITUACU II,-3842,-1294
TENENTE PORTELA,-5377,-2737
CAXIAS DO SUL 1,-5121,-2918
SUBESTA�ÃO PORTO ALEGRE 3,-5121,-3006
JARDIM BANDEIRANTES,-5121,-2330
CIA III,-3841,-1282
BELA VISTA DO PARAISO,-5120,-2299
SETD ALVORADA,-4338,-2299
SETD SÃO CONRADO,-4325,-2299
SETD POSTO SEIS,-4319,-2299
CAMPINAS 15 DIC,-4712,-2299
Jacuacanga,-4424,-2299
SETD CURICICA,-4340,-2296
SETD JARDIM BOTANICO,-4322,-2296
SETD HUMAITÁ,-4320,-2296
SETD BOTAFOGO,-4318,-2296
SETD LEME,-4318,-2296
ARARETAMA,-4550,-2296
SETD PORTA D'AGUA,-4333,-2294
SETD URUGUAI,-4324,-2294
Piratininga,-4305,-2294
CAMPINAS 3 TREVO,-4707,-2294
SETD PACIENCIA,-4364,-2294
SETD MATO ALTO,-4357,-2294
SETD TAQUARA,-4337,-2291
SETD BOCA DO MATO,-4329,-2291
SETD SANTO ANTONIO,-4318,-2291
SETD SANTA LUZIA,-4317,-2291
Icarai,-4310,-2291
Zona Sul,-4306,-2291
Inoa,-4294,-2291
SETD ESPERANÇA,-4368,-2291
SETD CAMPO MARTE,-4322,-2290
SETD MACKENZIE,-4319,-2290
SETD CAMERINO,-4319,-2290
Marica,-4283,-2290
SE SANTA CRUZ DO RIO PARDO,-4963,-2290
SETD COSMOS,-4362,-2290
SETD JABOATAO,-4356,-2290
SETD CAMARA,-4348,-2289
SETD PADRE MIGUEL,-4343,-2289
SETD VILA VALQUEIRE,-4337,-2289
SETD PIEDADE,-4331,-2289
SETD CACHAMBI,-4327,-2289
SETD TRIAGEM,-4325,-2289
SETD TROVAO,-4323,-2289
Sao Lourenco,-4311,-2289
Bacaxa,-4247,-2289
SETD BRISAMAR,-4384,-2289
SETD ITAGUAI,-4376,-2289
SETD ZONA INDUSTRIAL,-4374,-2289
