NomSubEstacao,NumCoordESub,NumCoordNSub
BOA ESPERANCA DO SUL 1,-4839,-2199
SETD TERRA NOVA,-4327,-2287
TACARATU,-3815,-910
UTINGA,-4838,-134
SETD DEMOCRATICOS,-4326,-2288
SETD LEOPOLDO,-4326,-2293
SETD PEDRO ERNESTO,-4326,-2285
GRAVATA,-3558,-820
SE PIMENTA BUENO,-6117,-1170
SETD RAMOS,-4325,-2286
ALEGRETE 3 - MARIANO PINTO,-5604,-2938
OLIMPICO,-5348,-2496
SE PALMAS IV,-4836,-1018
SETD FUNDAO,-4324,-2284
SETD ALDEIA CAMPISTA,-4324,-2292
VACARIA,-5091,-2849
RIO VERDE,-5091,-1780
SETD TRES RIOS,-4323,-2212
SÃO BORJA 1 - JARDIM DA PAZ,-5602,-2867
UBERLANDIA 1,-4834,-1891
JABOTICABAL 1,-4834,-2127
UBERLANDIA 9,-4834,-1897
CBO01,-4834,-2399
MARITUBA,-4834,-136
RIO DAS PEDRAS,-4578,-1209
SETD RIO COMPRIDO,-4322,-2293
SETD LEBLON,-4322,-2298
GRAVATA II,-3554,-820
PINHEIROS,-5345,-2493
SE PALMAS III,-4833,-1026
PARAISOPOLIS,-4577,-2256
Nova Parada Angelica,-4321,-2262
Parada Angelica,-4321,-2262
ENTRE RIOS,-3809,-1195
CARACARAI,-6112,182
SE DISTRITO CUIABA 138 KV,-5600,-1566
SÃO BORJA 2 - CEEE,-5600,-2869
SUBESTA�ÃO ÁGUAS CLARAS,-5088,-3017
CAMPOS GERAIS,-4576,-2124
ITABIRA 3,-4320,-1968
SETD GOVERNADOR,-4320,-2280
ITABIRA 2,-4320,-1960
SETD FREI CANECA,-4320,-2292
GUARAJUBA,-3808,-1265
PAROBÉ,-5087,-2964
GRAMADO,-5087,-2940
CROWN - FICTICIA,-5087,-1773
SE PALMAS II,-4831,-1020
SETD GUANABARA,-4319,-2280
JOAO MONLEVADE 3,-4319,-1981
SETD SAMARITANO,-4319,-2295
Secretario,-4319,-2234
SETD COPACABANA,-4319,-2297
MASSANGANO I,-4063,-933
PARATINGA,-4318,-1270
SETD BAEPENDI,-4318,-2293
CANELA,-5085,-2936
PIRES DO RIO,-4829,-1731
PARAGUAÇU 1,-4573,-2156
Rio da Cidade,-4317,-2243
FREDERICO WESTPHALEN,-5340,-2738
UBERLANDIA 2,-4828,-1886
Fagundes,-4316,-2221
BARRA DO CHOCA,-4060,-1487
IRACEMA,-6107,216
SANTA RITA DO SAPUCAI,-4571,-2226
IGUATAMA 2,-4571,-2019
CCP - PEDREIRA,-4059,-373
SE LUCAS DO RIO VERDE 138KV,-5594,-1304
BENEVIDES,-4826,-136
UBERLANDIA 6,-4826,-1893
ILHA DE BALSAS,-4570,-762
BARRA,-4314,-1108
GLORINHA,-5080,-2989
SE ARAGUAINA I,-4824,-720
SAQUINHO II - ENERGIPE,-3800,-1120
PRINCESA (PARAIBA),-3800,-775
RUSSAS II,-3800,-495
TAQUARA,-5079,-2966
MINACU,-4823,-1355
SE ESPIGAO D OESTE,-6102,-1154
UBERLANDIA 7,-4822,-1891
PAINS 2,-4566,-2036
ZE DOCA,-4566,-328
Gradim,-4310,-2283
Neves,-4310,-2285
SE SAO FRANCISCO,-6357,-1208
CAFELANDIA DO OESTE,-5333,-2462
TRÊS COROAS,-5077,-2951
ARAGUARI 2,-4821,-1865
PITANGUEIRAS 1,-4821,-2100
PORTO FIRME,-4309,-2067
Areal,-4309,-2223
PAO01,-5076,-2044
SECCIONADORA RIBEIRAO,-3540,-847
PALMEIRA DAS MISSÕES,-5331,-2788
PASSO DO INFERNO 2,-5075,-2927
CANASTRA 2,-5075,-2939
JUAZEIRO DA BAHIA,-4051,-942
AGUAS FORMOSAS - CEMIG,-4051,-1693
SE GUAREI,-4818,-2337
ARARIPINA,-4050,-759
BRASOPOLIS 1,-4561,-2247
RIO GRANDE DO PIAUI,-4305,-780
PORTEIRINHA 2,-4305,-1576
DOM AVELAR,-4049,-936
DISTRITO INDUSTRIAL DE JUAZEIRO,-4049,-947
SAUIPE,-3793,-1241
SE VISTA ALEGRE,-4816,-2349
Augusto Vieira,-4304,-2260
FLORIANO,-4304,-678
Galo Branco,-4304,-2283
JACOBINA,-4048,-1121
MUNDO NOVO,-4048,-1185
SAO GONCALO DO SAPUCAI,-4559,-2189
CJO01,-4559,-2273
DORES DO INDAIA,-4559,-1948
NOVA ERA 1,-4303,-1977
FAO,-4303,-676
SE CORUMBIARA,-6094,-1300
"SE CARLINDA 34,5 KV",-5582,-997
AGUDO,-5326,-2965
TOMÉ A�Ú,-4814,-241
BOA ESPERANCA 2,-4557,-2112
CHAVEAMENTO MASSANGANO II,-4045,-929
MUCAJAI,-6092,243
